option,description,class_name,file_path,granularity,メモ,LLM description,Description (copied from header or source code)
-loweratomic,Lower atomic intrinsics to non-atomic form,LowerAtomicPass,Utils/LowerAtomic.cpp,old,PassManager非対応の古いもの,高速化: 目的というより前提変換（環境依存）。既知の非プリエンプト環境など前提下で、atomic intrinsicを非atomic形へlowerしてコード生成を可能/容易にする。段階: 後（ターゲット/環境要件に合わせた下げ工程）。,This pass lowers atomic intrinsics to non-atomic form for use in a known non-preemptible environment.
-lowerinvoke,"Lower invoke and unwind, for unwindless code generators",LowerInvokePass,Utils/LowerInvoke.cpp,function,,高速化というより前提変換。例外のスタック巻き戻しを扱えないコード生成器向けにinvokeをcallへ変換し、EHブロックを死コード化して後で削除可能にする。段階: 後（unwind非対応ターゲット向けのlower工程、simplifycfg等の前）。,"This transformation is designed for use by code generators which do not yet support stack unwinding.  This pass converts 'invoke' instructions to 'call' instructions, so that any exception-handling 'landingpad' blocks become dead code (which can be removed by running the '-simplifycfg' pass afterwards)."
-lowerswitch,Lower SwitchInst’s to branches,LowerSwitchPass,Utils/LowerSwitch.cpp,function,,高速化/サイズ: 状況依存。switchを分岐列へlowerし、switch未対応/弱いターゲットでもコード生成可能にし、CFG最適化の材料にする。段階: 後（ターゲット都合のlower、またはCFG最終整形）。,"The LowerSwitch transformation rewrites switch instructions with a sequence of branches, which allows targets to get away with not implementing the switch instruction until it is convenient."
-mem2reg,Promote Memory to ” “Register,PromotePass,"Utils/PromoteMemToReg.h, PromoteMemoryToRegister.cpp",old,PassManager非対応の古いもの,高速化/サイズ縮小: あり（最適化の出発点）。スタック上のalloca（load/storeのみで使われるもの）をSSAレジスタ値に昇格し、PHIを立ててload/storeを除去して以後の最適化を効かせやすくする。段階: 前（早期に必須級）。,"This file promotes memory references to be register references.  It promotes alloca instructions which only have loads and stores as uses.  An alloca is transformed by using iterated dominator frontiers to place PHI nodes, then traversing the function in depth-first order to rewrite loads and stores as appropriate."
-memcpyopt,MemCpy Optimization,MemCpyOptPass,Scalar/MemCpyOptimizer.cpp,function,,高速化/サイズ縮小: あり。memcpy/memset等のメモリ操作を削除・短縮・別形に変換（不要コピー除去、store列→memset等）してメモリ操作と命令数を減らす。段階: 中〜後（他の簡約でサイズや上書き関係が見えた後に効きやすい）。,"This pass performs various transformations related to eliminating memcpy calls, or transforming sets of stores into memset's."
-mergefunc,Merge Functions,MergeFunctionsPass,IPO/MergeFunctions.cpp,module,,サイズ縮小: あり（主）/ 高速化: 間接的。等価な関数本体を検出して統合（折りたたみ）し、重複コードを削減する。段階: 後（関数本体が確定した後のサイズ最適化）。,"This pass looks for equivalent functions that are mergable and folds them. Order relation is defined on set of functions. It was made through special function comparison procedure that returns 0 when functions are equal, -1 when Left function is less than right function, and 1 for opposite case. We need total-ordering, so we need to maintain four properties on the functions set: a <= a (reflexivity) if a <= b and b <= a then a = b (antisymmetry) if a <= b and b <= c then a <= c (transitivity). for all a and b: a <= b or b <= a (totality). Comparison iterates through each instruction in each basic block. Functions are kept on binary tree. For each new function F we perform lookup in binary tree. In practice it works the following way: -- We define Function* container class with custom ""operator<"" (FunctionPtr). -- ""FunctionPtr"" instances are stored in std::set collection, so every    std::set::insert operation will give you result in log(N) time. As an optimization, a hash of the function structure is calculated first, and two functions are only compared if they have the same hash. This hash is cheap to compute, and has the property that if function F == G according to the comparison function, then hash(F) == hash(G). This consistency property is critical to ensuring all possible merging opportunities are exploited. Collisions in the hash affect the speed of the pass but not the correctness or determinism of the resulting transformation. When a match is found the functions are folded. If both functions are overridable, we move the functionality into a new internal function and leave two overridable thunks to it."
-mergeicmps,Merge contiguous icmps into a memcmp,MergeICmpsPass,Scalar/MergeICmps.cpp,function,,高速化/サイズ縮小: あり。連続領域の比較（icmp連鎖）をmemcmp（後で効率的比較列に展開されやすい）へまとめ、分岐・命令数を減らしてミス予測/I-cache負荷を下げる。段階: 中（インライン後に比較が展開されやすく、その後にまとめるのが有利）。,"This pass turns chains of integer comparisons into memcmp (the memcmp is later typically inlined as a chain of efficient hardware comparisons). This typically benefits c++ member or nonmember operator==(). The basic idea is to replace a longer chain of integer comparisons loaded from contiguous memory locations into a shorter chain of larger integer comparisons. Benefits are double:  - There are less jumps, and therefore less opportunities for mispredictions    and I-cache misses.  - Code size is smaller, both because jumps are removed and because the    encoding of a 2*n byte compare is smaller than that of two n-byte    compares. Example:  struct S {    int a;    char b;    char c;    uint16_t d;    bool operator==(const S& o) const {      return a == o.a && b == o.b && c == o.c && d == o.d;    }  };  Is optimized as :    bool S::operator==(const S& o) const {      return memcmp(this, &o, 8) == 0;    }  Which will later be expanded (ExpandMemCmp) as a single 8-bytes icmp."
-mergereturn,Unify function exit nodes,UnifyFunctionExitNodesPass,Utils/UnifyFunctionExitNodes.cpp,function,,高速化/サイズ: 間接的（正規化）。複数のreturn/unreachableを共通の関数出口に統合し、後続の解析・変換・後端生成を単純化する。段階: 後（CFG最終整形・正規化として）。,This pass is used to ensure that functions have at most one return and one unreachable instruction in them.
-mldst-motion,MergedLoadStoreMotion,MergedLoadStoreMotionPass,Scalar/MergedLoadStoreMotion.cpp,function,,高速化/サイズ縮小: あり。ダイヤ形CFGの両側にある同一アドレスのloadをホイストし、storeをシンクして統合することで、冗長メモリアクセスを減らし遅延隠蔽やif-conversion等を助ける（ただしloadホイストはGVNHoistに吸収された注記あり）。段階: 中（CFGが整い、AA等で安全性判断できる中盤）。,"This pass performs merges of loads and stores on both sides of a  diamond (hammock). It hoists the loads and sinks the stores. The algorithm iteratively hoists two loads to the same address out of a diamond (hammock) and merges them into a single load in the header. Similar it sinks and merges two stores to the tail block (footer). The algorithm iterates over the instructions of one side of the diamond and attempts to find a matching load/store on the other side. New tail/footer block may be insterted if the tail/footer block has more predecessors (not only the two predecessors that are forming the diamond). It hoists / sinks when it thinks it safe to do so.  This optimization helps with eg. hiding load latencies, triggering if-conversion, and reducing static code size. NOTE: This code no longer performs load hoisting, it is subsumed by GVNHoist."
-name-anon-globals,Provide a name to nameless globals,NameAnonGlobalPass,Utils/NameAnonGlobals.cpp,module,,高速化: 目的ではない（主にLTO基盤）/ サイズ: 間接的。匿名グローバルに名前を付けてThinLTO等で参照可能にし、リンク時最適化の安定性を上げる（最適化そのものというより取り回し改善）。段階: 前（ThinLTO等の前処理として早め）。,This file implements naming anonymous globals to make sure they can be referred to by ThinLTO.
-nary-reassociate,Nary reassociation,NaryReassociatePass,Scalar/NaryReassociate.cpp,function,,高速化/サイズ縮小: あり。n項加算などを再結合・並べ替えし、既存計算の再利用（冗長除去）を引き出して命令数を減らす（SCEV等で既存式を探索しつつ反復適用）。段階: 中（式簡約・CSEの機会を増やす中盤）。,"This pass reassociates n-ary add expressions and eliminates the redundancy exposed by the reassociation. A motivating example:   void foo(int a, int b) {     bar(a + b);     bar((a + 2) + b);   } An ideal compiler should reassociate (a + 2) + b to (a + b) + 2 and simplify the above code to   int t = a + b;   bar(t);   bar(t + 2); However, the Reassociate pass is unable to do that because it processes each instruction individually and believes (a + 2) + b is the best form according to its rank system. To address this limitation, NaryReassociate reassociates an expression in a form that reuses existing instructions. As a result, NaryReassociate can reassociate (a + 2) + b in the example to (a + b) + 2 because it detects that (a + b) is computed before. NaryReassociate works as follows. For every instruction in the form of (a + b) + c, it checks whether a + c or b + c is already computed by a dominating instruction. If so, it then reassociates (a + b) + c into (a + c) + b or (b + c) + a and removes the redundancy accordingly. To efficiently look up whether an expression is computed before, we store each instruction seen and its SCEV into an SCEV-to-instruction map. Although the algorithm pattern-matches only ternary additions, it automatically handles many >3-ary expressions by walking through the function in the depth-first order. For example, given   (a + c) + d   ((a + b) + c) + d NaryReassociate first rewrites (a + b) + c to (a + c) + b, and then rewrites ((a + c) + b) + d into ((a + c) + d) + b. Finally, the above dominator-based algorithm may need to be run multiple iterations before emitting optimal code. One source of this need is that we only split an operand when it is used only once. The above algorithm can eliminate an instruction and decrease the usage count of its operands. As a result, an instruction that previously had multiple uses may become a single-use instruction and thus eligible for split consideration. For example,   ac = a + c   ab = a + b   abc = ab + c   ab2 = ab + b   ab2c = ab2 + c In the first iteration, we cannot reassociate abc to ac+b because ab is used twice. However, we can reassociate ab2c to abc+b in the first iteration. As a result, ab2 becomes dead and ab will be used only once in the second iteration. Limitations and TODO items: 1) We only considers n-ary adds and muls for now. This should be extended and generalized."
-newgvn,Global Value Numbering,NewGVNPass,Scalar/NewGVN.cpp,function,,高速化/サイズ縮小: あり。疎なGVNで値を合同類に分類し、冗長計算を検出して除去・簡約する（phi絡み等も扱えるよう工夫）。段階: 中（主要な冗長除去として中盤）。,"This file implements the new LLVM's Global Value Numbering pass. GVN partitions values computed by a function into congruence classes. Values ending up in the same congruence class are guaranteed to be the same for every execution of the program. In that respect, congruency is a compile-time approximation of equivalence of values at runtime. The algorithm implemented here uses a sparse formulation and it's based on the ideas described in the paper: ""A Sparse Algorithm for Predicated Global Value Numbering"" from Karthik Gargi. A brief overview of the algorithm: The algorithm is essentially the same as the standard RPO value numbering algorithm (a good reference is the paper ""SCC based value numbering"" by L. Taylor Simpson) with one major difference: The RPO algorithm proceeds, on every iteration, to process every reachable block and every instruction in that block.  This is because the standard RPO algorithm does not track what things have the same value number, it only tracks what the value number of a given operation is (the mapping is operation -> value number).  Thus, when a value number of an operation changes, it must reprocess everything to ensure all uses of a value number get updated properly.  In constrast, the sparse algorithm we use *also* tracks what operations have a given value number (IE it also tracks the reverse mapping from value number -> operations with that value number), so that it only needs to reprocess the instructions that are affected when something's value number changes.  The vast majority of complexity and code in this file is devoted to tracking what value numbers could change for what instructions when various things happen.  The rest of the algorithm is devoted to performing symbolic evaluation, forward propagation, and simplification of operations based on the value numbers deduced so far In order to make the GVN mostly-complete, we use a technique derived from ""Detection of Redundant Expressions: A Complete and Polynomial-time Algorithm in SSA"" by R.R. Pai.  The source of incompleteness in most SSA based GVN algorithms is related to their inability to detect equivalence between phi of ops (IE phi(a+b, c+d)) and op of phis (phi(a,c) + phi(b, d)). We resolve this issue by generating the equivalent ""phi of ops"" form for each op of phis we see, in a way that only takes polynomial time to resolve. We also do not perform elimination by using any published algorithm.  All published algorithms are O(Instructions). Instead, we use a technique that is O(number of operations with the same value number), enabling us to skip trying to eliminate things that have unique value numbers."
-partial-inliner,Partial Inliner,PartialInlinerPass,IPO/PartialInlining.cpp,module,,高速化: あり（サイズは増えやすい）。関数全体ではなくホットになりすい部分（典型的にifで囲われた本体側）だけを部分的にインライン化し、呼び出しオーバーヘッドを減らしつつサイズ爆発を抑える。段階: 中（インライン最適化の一種として中盤）。,"This pass performs partial inlining, typically by inlining an if statement that surrounds the body of the function."
-partially-inline-libcalls,Partially inline calls to library functions,PartiallyInlineLibCallsPass,Scalar/PartiallyInlineLibCalls.cpp,function,,-partially-inline-libcalls: 高速化: あり。よく知られたライブラリ関数の“高速パス”だけを部分インライン化し、条件が合わない場合は元のlibcallにフォールバックして平均コストを下げる（例: sqrtでerrno不要なケースを命令化）。段階: 中（インライン後に現れる呼び出し形にも効きやすいので中盤以降）。,"This pass tries to partially inline the fast path of well-known library functions, such as using square-root instructions for cases where sqrt() does not need to set errno."
-pgo-memop-opt,Optimize memory intrinsic using its size value profile,PGOMemOPSizeOpt,"Instrumentation/PGOinstrumentation.h, PGOMemOPSizeOpt.cpp",function,,高速化: あり（PGO前提）/ サイズ: 状況依存。PGOのサイズ値プロファイルを使い、memcpy等をホットなサイズに特化したガード付き系列へ展開して、後でより効率的なインライン列に落とし込めるようにする。段階: 後（プロファイル情報があり、最終的なコード生成最適化に近い段階）。,"This file implements the transformation that optimizes memory intrinsics such as memcpy using the size value profile. When memory intrinsic size value profile metadata is available, a single memory intrinsic is expanded to a sequence of guarded specialized versions that are called with the hottest size(s), for later expansion into more optimal inline sequences."
-post-inline-ee-instrument,Instrument function entry/exit with calls to e.g. mcount()” “(post inlining),,,unknown,,-ee-instrumentのpost inline版? inlineが終わった後に計測を入れるので粒度が変わる　見つからず,
-prune-eh,Remove unused exception handling info,,,unknown,,使われていない例外処理(exception handler: EH)を削除　見つからず,
-reassociate,Reassociate expressions,ReassociatePass,Scalar/Reassociate.cpp,function,,高速化/サイズ縮小: あり。可換・結合可能な式を並べ替えて定数をまとめたり共通部分を作りやすくし、定数伝搬・GVN・LICM・PRE等の効果を高める。段階: 中（式簡約として中盤）。,"This pass reassociates commutative expressions in an order that is designed to promote better constant propagation, GCSE, LICM, PRE, etc. For example: 4 + (x + 5) -> x + (4 + 5) In the implementation of this algorithm, constants are assigned rank = 0, function arguments are rank = 1, and other values are assigned ranks corresponding to the reverse post order traversal of current function (starting at 2), which effectively gives values in deep loops higher rank than values not in loops."
-redundant-dbg-inst-elim,Redundant Dbg Instruction Elimination,RedundantDbgInstEliminationPass,Scalar/DCE.cpp,function,,対象外（デバッグ情報整理）。冗長なdbg関連命令を除去してデバッグ情報のノイズを減らす（実行性能最適化ではない）。段階: 後（デバッグ情報のクリーンアップ工程）。,"This file implements dead inst elimination and dead code elimination. Dead Inst Elimination performs a single pass over the function removing instructions that are obviously dead.  Dead Code Elimination is similar, but it rechecks instructions that were used by removed instructions to see if they are newly dead."
-reg2mem,Demote all values to stack slots,RegToMemPass,Scalar/Reg2Mem.cpp,function,,対象外（デバッグ/解析補助）。SSAの値をスタック(allocation+load/store)に降格してCFG改造やIR追跡をしやすくする逆mem2reg。段階: 前（開発・解析用途で挿入、性能最適化ではない）。,"This file demotes all registers to memory references.  It is intended to be the inverse of PromoteMemoryToRegister.  By converting to loads, the only values live across basic blocks are allocas and loads before phi nodes. It is intended that this should make CFG hacking much easier. To make later hacking easier, the entry block is split into two, such that all introduced allocas and nothing else are in the entry block."
-rewrite-statepoints-for-gc,Make relocations explicit at statepoints,RewriteStatepointsForGC,Scalar/RewriteStatePointsForGC.cpp,module,,対象外（主目的はGC対応）。statepointを用いるGCのためにcall/invokeを変形し、GCによるポインタ再配置（relocation）をIR上で明示化する。段階: 後（GC/statepoint利用時のlower工程）。,"This file provides interface to ""Rewrite Statepoints for GC"" pass. This passe rewrites call/invoke instructions so as to make potential relocations performed by the garbage collector explicit in the IR."
-rpo-functionattrs,Deduce function attributes in RPO,PostOrderFunctionAttrsPass,IPO/FunctionAttrs.cpp,cgscc,,高速化/サイズ縮小: 間接的にあり。呼び出しグラフをRPO順に走査して関数属性を推論・伝播し、後続の最適化（インライン/AA/DCE等）を強化する。段階: 中（IPO中盤）。,This file implements interprocedural passes which walk the call-graph deducing and/or propagating function attributes.
-sancov,Pass for instrumenting coverage on functions,SanitizerCoveragePass,Instrumentation/SanitizerCoverage.cpp,module,,対象外（計装）。SanitizerCoverageのカバレッジ計測をIRに挿入し、fuzzing/解析向けの実行情報を得る（実行時オーバーヘッド増）。段階: 後（ビルド計測用の挿入工程、性能最適化ではない）。,"Coverage instrumentation done on LLVM IR level, works with Sanitizers."
-scalarizer,Scalarize vector operations,ScalarizerPass,Scalar/Scalarizer.cpp,function,,高速化: 状況依存。ベクトル演算をスカラー（または小さい幅）に分解して、スカラー単位の最適化機会を露出させる（ベクトル機構が弱いターゲットや再ベクトル化前処理に有用）。段階: 中（ターゲット方針に応じて中盤）。,"This pass converts vector operations into scalar operations (or, optionally, operations on smaller vector widths), in order to expose optimization opportunities on the individual scalar operations. It is mainly intended for targets that do not have vector units, but it may also be useful for revectorizing code to different vector widths."
-sccp,Sparse Conditional Constant Propagation,SCCPPass,"Scalar/SCCP.cpp, IPO/SCCP.cpp",function,,高速化/サイズ縮小: あり。疎な条件付き定数伝搬で「値は定数/BBは死」を仮定して解析し、定数置換・分岐の単純化・到達不能の削除を行う。段階: 中（CFG簡約やDCEと相性の良い中盤）。,"This file implements sparse conditional constant propagation and merging: Specifically, this:   * Assumes values are constant unless proven otherwise   * Assumes BasicBlocks are dead unless proven otherwise   * Proves values to be constant, and replaces them with constants   * Proves conditional branches to be unconditional"
-separate-const-offset-from-gep,Split GEPs to a variadic base and a constant offset for better CSE,SeparateConstOffsetFromGEPPass,Scalar/SeparateConstOffsetFromGEP.cpp,function,,高速化: あり（特にアドレッシング制約が強いターゲット）/ サイズ: 状況依存。GEPを“可変ベース+定数オフセット”に分離して共通部分（ベース計算）をCSEしやすくし、レジスタ圧やアドレス計算命令を減らす（アンロールで増える類似GEPに有効）。段階: 中（アンロール等で類似GEPが増えた後に効きやすい）。,"Loop unrolling may create many similar GEPs for array accesses. e.g., a 2-level loop float a[32][32]; // global variable for (int i = 0; i < 2; ++i) {   for (int j = 0; j < 2; ++j) {     ...     ... = a[x + i][y + j];     ...   } } will probably be unrolled to: gep %a, 0, %x, %y; load gep %a, 0, %x, %y + 1; load gep %a, 0, %x + 1, %y; load gep %a, 0, %x + 1, %y + 1; load LLVM's GVN does not use partial redundancy elimination yet, and is thus unable to reuse (gep %a, 0, %x, %y). As a result, this misoptimization incurs significant slowdown in targets with limited addressing modes. For instance, because the PTX target does not support the reg+reg addressing mode, the NVPTX backend emits PTX code that literally computes the pointer address of each GEP, wasting tons of registers. It emits the following PTX for the first load and similar PTX for other loads. mov.u32         %r1, %x; mov.u32         %r2, %y; mul.wide.u32    %rl2, %r1, 128; mov.u64         %rl3, a; add.s64         %rl4, %rl3, %rl2; mul.wide.u32    %rl5, %r2, 4; add.s64         %rl6, %rl4, %rl5; ld.global.f32   %f1, [%rl6]; To reduce the register pressure, the optimization implemented in this file merges the common part of a group of GEPs, so we can compute each pointer address by adding a simple offset to the common part, saving many registers. It works by splitting each GEP into a variadic base and a constant offset. The variadic base can be computed once and reused by multiple GEPs, and the constant offsets can be nicely folded into the reg+immediate addressing mode (supported by most targets) without using any extra register. For instance, we transform the four GEPs and four loads in the above example into: base = gep a, 0, x, y load base load base + 1  * sizeof(float) load base + 32 * sizeof(float) load base + 33 * sizeof(float) Given the transformed IR, a backend that supports the reg+immediate addressing mode can easily fold the pointer arithmetics into the loads. For example, the NVPTX backend can easily fold the pointer arithmetics into the ld.global.f32 instructions, and the resultant PTX uses much fewer registers. mov.u32         %r1, %tid.x; mov.u32         %r2, %tid.y; mul.wide.u32    %rl2, %r1, 128; mov.u64         %rl3, a; add.s64         %rl4, %rl3, %rl2; mul.wide.u32    %rl5, %r2, 4; add.s64         %rl6, %rl4, %rl5; ld.global.f32   %f1, [%rl6]; // so far the same as unoptimized PTX ld.global.f32   %f2, [%rl6+4]; // much better ld.global.f32   %f3, [%rl6+128]; // much better ld.global.f32   %f4, [%rl6+132]; // much better Another improvement enabled by the LowerGEP flag is to lower a GEP with multiple indices to multiple GEPs with a single index. Such transformation can have following benefits: (1) It can always extract constants in the indices of structure type. (2) After such Lowering, there are more optimization opportunities such as     CSE, LICM and CGP. E.g. The following GEPs have multiple indices:  BB1:    %p = getelementptr [10 x %struct], ptr %ptr, i64 %i, i64 %j1, i32 3    load %p    ...  BB2:    %p2 = getelementptr [10 x %struct], ptr %ptr, i64 %i, i64 %j1, i32 2    load %p2    ... We can not do CSE to the common part related to index ""i64 %i"". Lowering GEPs can achieve such goals. This pass will lower a GEP with multiple indices into multiple GEPs with a single index:  BB1:    %2 = mul i64 %i, length_of_10xstruct          ; CSE opportunity    %3 = getelementptr i8, ptr %ptr, i64 %2       ; CSE opportunity    %4 = mul i64 %j1, length_of_struct    %5 = getelementptr i8, ptr %3, i64 %4    %p = getelementptr i8, ptr %5, struct_field_3 ; Constant offset    load %p    ...  BB2:    %8 = mul i64 %i, length_of_10xstruct            ; CSE opportunity    %9 = getelementptr i8, ptr %ptr, i64 %8         ; CSE opportunity    %10 = mul i64 %j2, length_of_struct    %11 = getelementptr i8, ptr %9, i64 %10    %p2 = getelementptr i8, ptr %11, struct_field_2 ; Constant offset    load %p2    ... Lowering GEPs can also benefit other passes such as LICM and CGP. LICM (Loop Invariant Code Motion) can not hoist/sink a GEP of multiple indices if one of the index is variant. If we lower such GEP into invariant parts and variant parts, LICM can hoist/sink those invariant parts. CGP (CodeGen Prepare) tries to sink address calculations that match the target's addressing modes. A GEP with multiple indices may not match and will not be sunk. If we lower such GEP into smaller parts, CGP may sink some of them. So we end up with a better addressing mode."
-simple-loop-unswitch,Simple unswitch loops,SimpleLoopUnswitchPass,Scalar/SimpleLoopUnswitch.cpp,loop,,高速化: あり（サイズは増え得る）。ループ不変条件の分岐/スイッチをループ外へ移し、条件ごとにループを複製して分岐をホットパスから除去する（サイズ爆発を閾値で抑制、LICMで不変条件が見える前提）。段階: 中（LICM後、ループ最適化中盤）。,"This pass transforms loops that contain branches or switches on loop- invariant conditions to have multiple loops. For example, it turns the left into the right code:  for (...)                  if (lic)    A                          for (...)    if (lic)                     A; B; C      B                      else    C                          for (...)                                 A; C This can increase the size of the code exponentially (doubling it every time a loop is unswitched) so we only unswitch if the resultant code will be smaller than a threshold. This pass expects LICM to be run before it to hoist invariant conditions out of the loop, to make the unswitching opportunity obvious. There is a taxonomy of unswitching that we use to classify different forms of this transformaiton: - Trival unswitching: this is when the condition can be unswitched without   cloning any code from inside the loop. A non-trivial unswitch requires   code duplication. - Full unswitching: this is when the branch or switch is completely moved   from inside the loop to outside the loop. Partial unswitching removes the   branch from the clone of the loop but must leave a (somewhat simplified)   branch in the original loop. While theoretically partial unswitching can   be done for switches, the requirements are extreme - we need the loop   invariant input to the switch to be sufficient to collapse to a single   successor in each clone. This pass always does trivial, full unswitching for both branches and switches. For branches, it also always does trivial, partial unswitching. If enabled (via the constructor's `NonTrivial` parameter), this pass will additionally do non-trivial, full unswitching for branches and switches, and will do non-trivial, partial unswitching for branches. Because partial unswitching of switches is extremely unlikely to be possible in practice and significantly complicates the implementation, this pass does not currently implement that in any mode."
-simplifycfg,Simplify the CFG,SimplifyCFGPass,Scalar/SimplifyCFG.cpp,function,,高速化/サイズ縮小: あり。ビット単位で「そのビットは最終的に不要」を追跡し、不要ビットしか計算しない命令（シフト/and/or等）やその連鎖を削除・簡約する。段階: 中〜後段のクリーンアップ（InstCombine/GVN後に冗長が出たところで効きやすい）。,This file provides the interface for the pass responsible for both simplifying and canonicalizing the CFG.
-sink,Code sinking,GVNSinkPass,"Scalar/GVN.h, GVNSink.cpp",function,,高速化/サイズ縮小: あり。GVN派生の解析で“使われる場所”に基づいて命令を後続ブロックへsinkingし、静的命令数を減らしたりif-conversionを助ける。段階: 中（CFGがある程度整った後、hoist/CSE後の整理として）。,"This pass attempts to sink instructions into successors, reducing static instruction count and enabling if-conversion. We use a variant of global value numbering to decide what can be sunk. Consider: [ %a1 = add i32 %b, 1  ]   [ %c1 = add i32 %d, 1  ] [ %a2 = xor i32 %a1, 1 ]   [ %c2 = xor i32 %c1, 1 ]                  \           /            [ %e = phi i32 %a2, %c2 ]            [ add i32 %e, 4         ] GVN would number %a1 and %c1 differently because they compute different results - the VN of an instruction is a function of its opcode and the transitive closure of its operands. This is the key property for hoisting and CSE. What we want when sinking however is for a numbering that is a function of the *uses* of an instruction, which allows us to answer the question ""if I replace %a1 with %c1, will it contribute in an equivalent way to all successive instructions?"". The PostValueTable class in GVN provides this mapping."
-slp-vectorizer,SLP Vectorizer,SLPVectorizerPass,Vectorize/SLPVectorizer.cpp,function,,高速化: あり（SIMD）/ サイズ: 状況依存。基本ブロック内の独立なスカラー演算・連続store等を“横方向”にまとめてベクトル化し、SIMDで処理できる形にする。段階: 中〜後（IRが十分に簡約されパターンが見えた後が有利）。,"This pass implements the Bottom Up SLP vectorizer. It detects consecutive stores that can be put together into vector-stores. Next, it attempts to construct vectorizable tree using the use-def chains. If a profitable tree was found, the SLP vectorizer performs vectorization on the tree. The pass is inspired by the work described in the paper:  ""Loop-Aware SLP in GCC"" by Ira Rosen, Dorit Nuzman, Ayal Zaks."
-slsr,Straight line strength reduction,StraightLineStrengthReducePass,Scalar/StraightLineStrengthReduce.cpp,function,,高速化/サイズ縮小: あり。直線コード上で算術の冗長性をstrength reductionし、支配関係を使って“基底”計算から差分で表現して加算/乗算やGEP計算を減らす（アンロール後の冗長に強い）。段階: 中（アンロール等で冗長式が増えた後に効きやすい）。,"This file implements straight-line strength reduction (SLSR). Unlike loop strength reduction, this algorithm is designed to reduce arithmetic redundancy in straight-line code instead of loops. It has proven to be effective in simplifying arithmetic statements derived from an unrolled loop. It can also simplify the logic of SeparateConstOffsetFromGEP. There are many optimizations we can perform in the domain of SLSR. We look for strength reduction candidates in the following forms: Form Add: B + i * S Form Mul: (B + i) * S Form GEP: &B[i * S] where S is an integer variable, and i is a constant integer. If we found two candidates S1 and S2 in the same form and S1 dominates S2, we may rewrite S2 in a simpler way with respect to S1 (index delta). For example, S1: X = B + i * S S2: Y = B + i' * S   => X + (i' - i) * S S1: X = (B + i) * S S2: Y = (B + i') * S => X + (i' - i) * S S1: X = &B[i * S] S2: Y = &B[i' * S]   => &X[(i' - i) * S] Note: (i' - i) * S is folded to the extent possible. For Add and GEP forms, we can also rewrite a candidate in a simpler way with respect to other dominating candidates if their B or S are different but other parts are the same. For example, Base Delta: S1: X = B  + i * S S2: Y = B' + i * S   => X + (B' - B) S1: X = &B [i * S] S2: Y = &B'[i * S]   => X + (B' - B) Stride Delta: S1: X = B + i * S S2: Y = B + i * S'   => X + i * (S' - S) S1: X = &B[i * S] S2: Y = &B[i * S']   => X + i * (S' - S) PS: Stride delta rewrite on Mul form is usually non-profitable, and Base delta rewrite sometimes is profitable, so we do not support them on Mul. This rewriting is in general a good idea. The code patterns we focus on usually come from loop unrolling, so the delta is likely the same across iterations and can be reused. When that happens, the optimized form takes only one add starting from the second iteration. When such rewriting is possible, we call S1 a ""basis"" of S2. When S2 has multiple bases, we choose to rewrite S2 with respect to its ""immediate"" basis, the basis that is the closest ancestor in the dominator tree."
-speculative-execution,Speculatively execute instructions,SpeculativeExecutionPass,Scalar/SpeculativeExecution.cpp,function,,高速化: あり（主に分岐コストが高いターゲット/GPU）/ サイズ: 状況依存。分岐前に命令を投機的にホイストして分岐を減らしたりアドレス計算を共通化し、後続最適化で不要分をsinking等で回収する前提の攻めた変換。段階: 中（CFG簡約後〜中盤、ターゲット条件が合う場合）。,"This pass hoists instructions to enable speculative execution on targets where branches are expensive. This is aimed at GPUs. It currently works on simple if-then and if-then-else patterns. Removing branches is not the only motivation for this pass. E.g. consider this code and assume that there is no addressing mode for multiplying by sizeof(*a):   if (b > 0)     c = a[i + 1]   if (d > 0)     e = a[i + 2] turns into   p = &a[i + 1];   if (b > 0)     c = *p;   q = &a[i + 2];   if (d > 0)     e = *q; which could later be optimized to   r = &a[i];   if (b > 0)     c = r[1];   if (d > 0)     e = r[2]; Later passes sink back much of the speculated code that did not enable further optimization. This pass is more aggressive than the function SpeculativeyExecuteBB in SimplifyCFG. SimplifyCFG will not speculate if no selects are introduced and it will speculate at most one instruction. It also will not speculate if there is a value defined in the if-block that is only used in the then-block. These restrictions make sense since the speculation in SimplifyCFG seems aimed at introducing cheap selects, while this pass is intended to do more aggressive speculation while counting on later passes to either capitalize on that or clean it up. If the pass was created by calling createSpeculativeExecutionIfHasBranchDivergencePass or the -spec-exec-only-if-divergent-target option is present, this pass only has an effect on targets where TargetTransformInfo::hasBranchDivergence() is true; on other targets, it is a nop. This lets you include this pass unconditionally in the IR pass pipeline, but only enable it for relevant targets."
